field,record_index,narrative_complexity,narrative_coherence,framing_conflict,mutual_information,entanglement_strength,sentiment_entropy,sentiment_coherence,average_sentiment
新聞標題,0,0,0.5640500216259794,0.502,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,1,0,0.5640500216259794,0.497,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.07142857142857142
新聞標題,2,0,0.7434289137198955,0.492,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,3,0,0.7813896309955234,0.516,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,4,0,0.5640500216259794,0.506,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,5,0,0.7434289137198955,0.497,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,6,0,0.7434289137198956,0.514,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,7,0,0.7434289137198957,0.5,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,8,0,0.5640500216259794,0.492,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,9,0,0.7434289137198956,0.485,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,10,0,0.7824162252007762,0.491,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,11,0,0.7434289137198957,0.497,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,12,0,0.5640500216259794,0.478,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,13,0,0.5640500216259794,0.507,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,14,0,0.5640500216259794,0.501,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,15,0,0.5640500216259794,0.501,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,16,0,0.5640500216259794,0.487,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,17,0,0.7434289137198955,0.501,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,18,0,0.5640500216259794,0.499,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,19,0,0.5640500216259794,0.512,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,20,0,0.5640500216259794,0.522,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,21,0,0.7434289137198956,0.502,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,22,0,0.782416225200776,0.487,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,23,0,0.5640500216259794,0.518,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,24,0,0.5640500216259794,0.487,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,25,0,0.5640500216259794,0.495,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,26,0,0.5640500216259794,0.509,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,27,0,0.5640500216259794,0.518,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,28,0,0.5640500216259794,0.512,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,29,0,0.5640500216259794,0.512,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,30,0,0.5640500216259794,0.504,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,31,0,0.5640500216259794,0.488,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,32,0,0.7434289137198955,0.502,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,33,0,0.9420872427956631,0.509,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,34,0,0.5640500216259794,0.455,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,35,0,0.5640500216259794,0.498,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,36,0,0.5640500216259794,0.509,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,37,0,0.7611664297623237,0.508,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,38,0,0.7434289137198957,0.511,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,39,0,0.5640500216259794,0.525,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,40,0,0.5640500216259794,0.501,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,41,0,0.5640500216259794,0.487,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,42,0,0.5640500216259794,0.499,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,43,0,0.7824162252007762,0.522,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,44,0,0.5640500216259794,0.522,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,45,0,0.5640500216259794,0.517,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,46,0,0.5640500216259794,0.528,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,47,0,0.7434289137198956,0.472,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,48,0,0.5640500216259794,0.493,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,49,0,0.5640500216259794,0.492,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,50,0,0.5640500216259794,0.527,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,51,0,0.7434289137198955,0.512,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,52,0,0.5640500216259794,0.477,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,53,0,0.5640500216259794,0.515,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,54,0,0.7434289137198956,0.495,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,55,0,0.7434289137198957,0.491,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,56,0,0.5640500216259794,0.494,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,57,0,0.7434289137198957,0.498,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,58,0,0.5640500216259794,0.472,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,59,0,0.5640500216259794,0.506,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,60,0,0.5640500216259794,0.486,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,61,0,0.7434289137198955,0.498,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,62,0,0.5640500216259794,0.497,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,63,0,0.5640500216259794,0.53,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,64,0,0.5640500216259794,0.514,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,65,0,0.5640500216259794,0.491,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,66,0,0.5640500216259794,0.492,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,67,0,0.5640500216259794,0.501,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,68,0,0.5640500216259794,0.488,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,69,0,0.5640500216259794,0.484,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,70,0,0.5640500216259794,0.534,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,71,0,0.5640500216259794,0.509,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,72,0,0.7434289137198955,0.516,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,73,0,0.5640500216259794,0.509,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,74,0,0.5640500216259794,0.497,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,75,0,0.7434289137198956,0.519,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,76,0,0.5640500216259794,0.493,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,77,0,0.5640500216259794,0.481,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,78,0,0.5640500216259794,0.508,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,79,0,0.5640500216259794,0.527,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,80,0,0.7434289137198957,0.511,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,81,0,0.7434289137198955,0.512,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,82,0,0.5640500216259794,0.516,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,83,0,0.5640500216259794,0.488,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,84,0,0.5640500216259794,0.513,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,85,0,0.5640500216259794,0.487,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,86,0,0.5640500216259794,0.492,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,87,0,0.5640500216259794,0.493,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,88,0,0.5640500216259794,0.488,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,89,0,0.5640500216259794,0.544,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,-0.14285714285714285
新聞標題,90,0,0.5640500216259794,0.502,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,91,0,0.5640500216259794,0.491,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,92,0,0.5640500216259794,0.477,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,93,0,0.5640500216259794,0.49,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,94,0,0.5640500216259794,0.534,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,95,0,0.5640500216259794,0.511,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,96,0,0.5640500216259794,0.523,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,97,0,0.5640500216259794,0.523,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,98,0,0.5640500216259794,0.483,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,99,0,0.5640500216259794,0.511,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,100,0,0.5640500216259794,0.519,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,101,0,0.5640500216259794,0.496,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,102,0,0.5640500216259794,0.496,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,103,0,0.5640500216259794,0.525,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,104,0,0.5640500216259794,0.497,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,105,0,0.7434289137198955,0.503,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,106,0,0.5640500216259794,0.502,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,107,0,0.5640500216259794,0.508,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,108,0,0.5640500216259794,0.471,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,109,0,0.5640500216259794,0.5,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,110,0,0.5640500216259794,0.516,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,111,0,0.5640500216259794,0.506,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,112,0,0.5640500216259794,0.483,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,113,0,0.5640500216259794,0.508,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,114,0,0.5640500216259794,0.483,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,-0.06666666666666667
新聞標題,115,0,0.5640500216259794,0.502,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,116,0,0.5640500216259794,0.498,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,117,0,0.5640500216259794,0.491,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,118,0,0.7434289137198956,0.508,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,119,0,0.7434289137198956,0.508,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,120,0,0.5640500216259794,0.491,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,121,0,0.5640500216259794,0.495,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,122,0,0.5640500216259794,0.514,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,123,0,0.5640500216259794,0.49,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,124,0,0.5640500216259794,0.502,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,125,0,0.5640500216259794,0.523,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,126,0,0.3981245538425917,0.507,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,127,0,0.5640500216259794,0.532,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,128,0,0.7434289137198957,0.514,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,129,0,0.5640500216259794,0.541,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,130,0,0.5640500216259794,0.482,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,131,0,0.5640500216259794,0.496,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,132,0,0.5640500216259794,0.493,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,133,0,0.5640500216259794,0.497,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,134,0,0.5640500216259794,0.536,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,135,0,0.5640500216259794,0.469,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,136,0,0.5640500216259794,0.474,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,137,0,0.5640500216259794,0.51,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,138,0,0.5640500216259794,0.496,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,139,0,0.5640500216259794,0.52,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,140,0,0.5640500216259794,0.492,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,141,0,0.5640500216259794,0.504,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,142,0,0.7434289137198955,0.494,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.05
新聞標題,143,0,0.5640500216259794,0.469,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,144,0,0.7434289137198957,0.464,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,145,0,0.5640500216259794,0.492,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,146,0,0.5640500216259794,0.515,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,147,0,0.5640500216259794,0.511,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,148,0,0.5640500216259794,0.503,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,149,0,0.5640500216259794,0.499,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,150,0,0.5640500216259794,0.525,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,151,0,0.5640500216259794,0.486,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,152,0,0.5640500216259794,0.497,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.05
新聞標題,153,0,0.5640500216259794,0.484,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,154,0,0.5640500216259794,0.517,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,155,0,0.5640500216259794,0.507,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,156,0,0.5640500216259794,0.494,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,157,0,0.08435609356497475,0.521,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,158,0,0.5640500216259794,0.502,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,159,0,0.5640500216259794,0.478,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,160,0,0.5640500216259794,0.489,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,161,0,0.5640500216259794,0.468,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,162,0,0.7434289137198957,0.506,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,163,0,0.5640500216259794,0.505,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,164,0,0.5640500216259794,0.515,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,165,0,0.7434289137198957,0.525,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0625
新聞標題,166,0,0.5640500216259794,0.508,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,167,0,0.5640500216259794,0.492,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,168,0,0.5640500216259794,0.504,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,169,0,0.5640500216259794,0.516,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,170,0,0.7434289137198957,0.496,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,171,0,0.5640500216259794,0.472,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,172,0,0.5640500216259794,0.503,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,173,0,0.5640500216259794,0.525,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,-0.06666666666666667
新聞標題,174,0,0.5640500216259794,0.497,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,175,0,0.7434289137198956,0.498,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,176,0,0.7434289137198956,0.517,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,177,0,0.5640500216259794,0.498,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,178,0,0.5640500216259794,0.515,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,179,0,0.5640500216259794,0.493,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,180,0,0.5640500216259794,0.479,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,181,0,0.5640500216259794,0.516,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,182,0,0.7434289137198956,0.513,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,183,0,0.5640500216259794,0.502,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,184,0,0.5640500216259794,0.512,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,185,0,0.7824162252007759,0.492,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,186,0,0.5640500216259794,0.473,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,187,0,0.5640500216259794,0.474,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,188,0,0.5640500216259794,0.507,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,189,0,0.5640500216259794,0.486,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,-0.09090909090909091
新聞標題,190,0,0.5640500216259794,0.478,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,191,0,0.5640500216259794,0.515,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,192,0,0.5640500216259794,0.468,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,193,0,0.5640500216259794,0.485,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,194,0,0.7434289137198955,0.517,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,195,0,0.5640500216259794,0.507,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,196,0,0.7434289137198957,0.486,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,197,0,0.5640500216259794,0.468,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,198,0,0.7434289137198955,0.508,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,199,0,0.7824162252007762,0.497,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,200,0,0.7434289137198955,0.476,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,201,0,0.5640500216259794,0.483,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,202,0,0.5640500216259794,0.508,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,203,0,0.7434289137198957,0.506,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,204,0,0.7434289137198955,0.512,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,205,0,0.5640500216259794,0.52,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,-0.09090909090909091
新聞標題,206,0,0.5640500216259794,0.501,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,207,0,0.5640500216259794,0.477,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,208,0,0.5640500216259794,0.525,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,209,0,0.7434289137198955,0.494,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,210,0,0.5640500216259794,0.498,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,211,0,0.5640500216259794,0.488,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,212,0,0.5640500216259794,0.504,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,213,0,0.5640500216259794,0.509,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,214,0,0.5640500216259794,0.507,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,215,0,0.5640500216259794,0.485,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,216,0,0.5640500216259794,0.489,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,217,0,0.7434289137198957,0.538,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,218,0,0.5640500216259794,0.505,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,219,0,0.5640500216259794,0.519,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,220,0,0.5640500216259794,0.52,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,221,0,0.5640500216259794,0.502,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,222,0,0.5640500216259794,0.494,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,223,0,0.5640500216259794,0.501,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,224,0,0.5640500216259794,0.499,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,225,0,0.5640500216259794,0.511,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,226,0,0.5640500216259794,0.501,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,227,0,0.5640500216259794,0.508,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,228,0,0.5640500216259794,0.503,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,229,0,0.7434289137198955,0.504,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,230,0,0.5640500216259794,0.504,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,231,0,0.5640500216259794,0.502,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,232,0,0.5640500216259794,0.525,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,233,0,0.5640500216259794,0.504,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,234,0,0.5640500216259794,0.534,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,235,0,0.5640500216259794,0.51,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,236,0,0.5640500216259794,0.511,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,237,0,0.5640500216259794,0.478,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,238,0,0.5640500216259794,0.498,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,239,0,0.5640500216259794,0.506,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
